Date,Total_cases
1/1/2022,177144
1/2/2022,179639
1/3/2022,185627
1/4/2022,192064
1/5/2022,198877
1/6/2022,205242
1/7/2022,210546
1/8/2022,213864
1/9/2022,216947
1/10/2022,223163
1/11/2022,229245
1/12/2022,235092
1/13/2022,240219
1/14/2022,244877
1/15/2022,247353
1/16/2022,249418
1/17/2022,253289
1/18/2022,258062
1/19/2022,262396
1/20/2022,266510
1/21/2022,269964
1/22/2022,271694
1/23/2022,273306
1/24/2022,276947
1/25/2022,280001
1/26/2022,282815
1/27/2022,285238
1/28/2022,287523
1/29/2022,288793
1/30/2022,289758
1/31/2022,291955
2/1/2022,293635
2/2/2022,295280
2/3/2022,296566
2/4/2022,297796
2/5/2022,298411
2/6/2022,299015
2/7/2022,300209
2/8/2022,301180
2/9/2022,302163
2/10/2022,302940
2/11/2022,303650
2/12/2022,304113
2/13/2022,304455
2/14/2022,305117
2/15/2022,305674
2/16/2022,306222
2/17/2022,306613
2/18/2022,306992
2/19/2022,307231
2/20/2022,307418
2/21/2022,307698
2/22/2022,308089
2/23/2022,308361
2/24/2022,308636
2/25/2022,308908
2/26/2022,309082
2/27/2022,309215
2/28/2022,309524
3/1/2022,309803
3/2/2022,310044
3/3/2022,310296
3/4/2022,310484
3/5/2022,310614
3/6/2022,310718
3/7/2022,310971
3/8/2022,311186
3/9/2022,311426
3/10/2022,311586
3/11/2022,311772
3/12/2022,311907
3/13/2022,311983
3/14/2022,312175
3/15/2022,312355
3/16/2022,312538
3/17/2022,312715
3/18/2022,312861
3/19/2022,312956
3/20/2022,313052
3/21/2022,313232
3/22/2022,313472
3/23/2022,313642
3/24/2022,313831
3/25/2022,313980
3/26/2022,314120
3/27/2022,314261
3/28/2022,314468
3/29/2022,314713
3/30/2022,314971
3/31/2022,315171
4/1/2022,315370
4/2/2022,315497
4/3/2022,315640
4/4/2022,315937
4/5/2022,316198
4/6/2022,316477
4/7/2022,316698
4/8/2022,316920
4/9/2022,317071
4/10/2022,317235
4/11/2022,317515
4/12/2022,317865
4/13/2022,318157
4/14/2022,318427
4/15/2022,318732
4/16/2022,318993
4/17/2022,319191
4/18/2022,319640
4/19/2022,320085
4/20/2022,320508
4/21/2022,320923
4/22/2022,321385
4/23/2022,321689
4/24/2022,322025
4/25/2022,322714
4/26/2022,323351
4/27/2022,323931
4/28/2022,324472
4/29/2022,325032
4/30/2022,325477
5/1/2022,325867
5/2/2022,326757
5/3/2022,327689
5/4/2022,328542
5/5/2022,329357
5/6/2022,330137
5/7/2022,330694
5/8/2022,331165
5/9/2022,332196
5/10/2022,333399
5/11/2022,334458
5/12/2022,335498
5/13/2022,336450
5/14/2022,337160
5/15/2022,337894
5/16/2022,339280
5/17/2022,340622
5/18/2022,341877
5/19/2022,343145
5/20/2022,344247
5/21/2022,344977
5/22/2022,345724
5/23/2022,347141
5/24/2022,348563
5/25/2022,349940
5/26/2022,351099
5/27/2022,352140
5/28/2022,352858
5/29/2022,353568
5/30/2022,354275
5/31/2022,355922
6/1/2022,357359
6/2/2022,358567
6/3/2022,359705
6/4/2022,360568
6/5/2022,361342
6/6/2022,362776
6/7/2022,364040
6/8/2022,365253
6/9/2022,366329
6/10/2022,367390
6/11/2022,368092
6/12/2022,368743
6/13/2022,369850
6/14/2022,370971
6/15/2022,372096
6/16/2022,373077
6/17/2022,374047
6/18/2022,374807
6/19/2022,375470
6/20/2022,376618
6/21/2022,377890
6/22/2022,379078
6/23/2022,380203
6/24/2022,381244
6/25/2022,382037
6/26/2022,382767
6/27/2022,384095
6/28/2022,385613
6/29/2022,386860
6/30/2022,387935
